dataset,fold,arm,reference,disagreement,correctness_disagreement,sampling_sd_floor
aptos2019,7,full_llrd_ema,last2,0.1820689655172414,0.1489655172413793,0.023053370787187416
aptos2019,7,full_llrd_ema,full,0.09517241379310344,0.08137931034482758,0.020536082894305398
aptos2019,7,full_llrd_ema,selected_training,0.1820689655172414,0.1489655172413793,0.023053370787187416
aptos2019,7,selected_surgical,frozen_lr,0.0,0.0,0.0
aptos2019,7,selected_surgical,last2,0.16,0.13379310344827586,0.019896715471321047
aptos2019,7,selected_surgical,full,0.0,0.0,0.0
aptos2019,7,selected_surgical,selected_training,0.16,0.13379310344827586,0.019896715471321047
aptos2019,8,emb,frozen_lr,0.0,0.0,0.0
aptos2019,8,emb,last2,0.10773480662983426,0.08701657458563536,0.02037655731416581
aptos2019,8,emb,full,0.1643646408839779,0.13812154696132597,0.021506700489598057
aptos2019,8,emb,selected_training,0.10773480662983426,0.08701657458563536,0.02037655731416581
aptos2019,8,emb_ema,frozen_lr,0.0,0.0,0.0
aptos2019,8,emb_ema,last2,0.10773480662983426,0.08701657458563536,0.02037655731416581
aptos2019,8,emb_ema,full,0.1643646408839779,0.13812154696132597,0.021506700489598057
aptos2019,8,emb_ema,selected_training,0.10773480662983426,0.08701657458563536,0.02037655731416581
aptos2019,8,first2,frozen_lr,0.12154696132596685,0.10497237569060773,0.01932398932484046
aptos2019,8,first2,last2,0.11878453038674033,0.09806629834254144,0.01959165866652794
aptos2019,8,first2,full,0.11740331491712708,0.09392265193370165,0.019594463219094572
aptos2019,8,first2,selected_training,0.11878453038674033,0.09806629834254144,0.01959165866652794
aptos2019,8,first2_ema,frozen_lr,0.12430939226519337,0.10359116022099447,0.01819387378160168
aptos2019,8,first2_ema,last2,0.11049723756906077,0.08839779005524862,0.017780859187178005
aptos2019,8,first2_ema,full,0.14502762430939226,0.12016574585635359,0.022085810312113523
aptos2019,8,first2_ema,selected_training,0.11049723756906077,0.08839779005524862,0.017780859187178005
aptos2019,8,full_llrd,frozen_lr,0.09530386740331492,0.07458563535911603,0.015294028749520511
aptos2019,8,full_llrd,last2,0.12430939226519337,0.10082872928176796,0.01892018649158858
aptos2019,8,full_llrd,full,0.13950276243093923,0.11602209944751381,0.02138999171893945
aptos2019,8,full_llrd,selected_training,0.12430939226519337,0.10082872928176796,0.01892018649158858
aptos2019,8,full_llrd_ema,frozen_lr,0.14917127071823205,0.12292817679558012,0.022225386445161956
aptos2019,8,full_llrd_ema,last2,0.13535911602209943,0.11049723756906077,0.022066463661761418
