dataset,arm,scaling,metric,n_repeats,mean,lo,hi,range,exploratory
aptos2019,B1d,none,n_bins_eff_em,3,15.0,15.0,15.0,0.0,탐색적/exploratory
aptos2019,B1d,temp,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
aptos2019,B1d,temp,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B1d,temp,argmax_pred_agree,3,1.0,1.0,1.0,0.0,탐색적/exploratory
aptos2019,B1d,temp,ece_top_ew,3,0.017607395852858625,0.017047789302955984,0.018589961639600274,0.0015421723366442902,탐색적/exploratory
aptos2019,B1d,temp,ece_top_em,3,0.019294296198625032,0.01793576841240412,0.020428673308029863,0.0024929048956257444,탐색적/exploratory
aptos2019,B1d,temp,ece_top_db,3,0.008261620465002565,0.0,0.014782609637181041,0.014782609637181041,탐색적/exploratory
aptos2019,B1d,temp,ece_top_rms_em,3,0.025343184840791056,0.023322058169838664,0.027244979515313288,0.003922921345474624,탐색적/exploratory
aptos2019,B1d,temp,ece_top_bias_corr,3,0.01708156437578849,0.012462369878132247,0.023322058169838664,0.010859688291706417,탐색적/exploratory
aptos2019,B1d,temp,ece_dep_em,3,0.019294296198625032,0.01793576841240412,0.020428673308029863,0.0024929048956257444,탐색적/exploratory
aptos2019,B1d,temp,cwece_ew,3,0.0388161838221682,0.03622832628130136,0.04089507043897728,0.0046667441576759144,탐색적/exploratory
aptos2019,B1d,temp,cwece_em,3,0.038421729283254,0.03615675804889743,0.04112275206797143,0.004965994019074001,탐색적/exploratory
aptos2019,B1d,temp,cwece_db,3,0.06862304035869808,0.06691853621906316,0.06993761760244271,0.003019081383379557,탐색적/exploratory
aptos2019,B1d,temp,cwece_rms_em,3,0.07038020404136461,0.06866762965186474,0.07165580463752777,0.0029881749856630335,탐색적/exploratory
aptos2019,B1d,temp,brier_multiclass,3,0.3007604480653317,0.29362710175556594,0.3048555073252749,0.011228405569708944,탐색적/exploratory
aptos2019,B1d,temp,brier_balanced,3,0.5009004699613252,0.48933218553832303,0.5078829513877762,0.018550765849453144,탐색적/exploratory
aptos2019,B1d,temp,brier_ovr_mean,3,0.06015208961306634,0.05872542035111319,0.06097110146505498,0.002245681113941793,탐색적/exploratory
aptos2019,B1d,temp,nll,3,0.5750733568640718,0.5593935691787243,0.5831149982250484,0.023721429046324127,탐색적/exploratory
aptos2019,B1d,temp,acc,3,0.7885490624431094,0.7872747132714364,0.79000546149645,0.002730748225013624,탐색적/exploratory
aptos2019,B1d,temp,bacc,3,0.6320053635880167,0.6247144878528725,0.637189431130673,0.01247494327780041,탐색적/exploratory
aptos2019,B1d,temp,mean_conf,3,0.7867527404600364,0.7791174324421221,0.7970487354008634,0.017931302958741346,탐색적/exploratory
aptos2019,B1d,temp,n_bins_eff_em,3,15.0,15.0,15.0,0.0,탐색적/exploratory
aptos2019,B2,none,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
aptos2019,B2,none,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B2,none,argmax_pred_agree,3,1.0,1.0,1.0,0.0,탐색적/exploratory
aptos2019,B2,none,ece_top_ew,3,0.05937596406152079,0.057824434041950694,0.0603098585762731,0.0024854245343224057,탐색적/exploratory
aptos2019,B2,none,ece_top_em,3,0.05867196884499856,0.05690760291143212,0.0598130485901614,0.0029054456787292807,탐색적/exploratory
aptos2019,B2,none,ece_top_db,3,0.07612193040823273,0.0742252856069843,0.07707911743739868,0.0028538318304143773,탐색적/exploratory
aptos2019,B2,none,ece_top_rms_em,3,0.07899432571740277,0.07716871454991746,0.07997029525853191,0.0028015807086144567,탐색적/exploratory
aptos2019,B2,none,ece_top_bias_corr,3,0.0028723953091700366,0.0027825791634437103,0.00294342894293316,0.00016084977948944978,탐색적/exploratory
aptos2019,B2,none,ece_dep_em,3,0.05867196884499856,0.05690760291143212,0.0598130485901614,0.0029054456787292807,탐색적/exploratory
aptos2019,B2,none,cwece_ew,3,0.027336414074217552,0.026998967259144892,0.0278598580500228,0.0008608907908779079,탐색적/exploratory
aptos2019,B2,none,cwece_em,3,0.02469516601569985,0.024248999426142837,0.025126753345596397,0.0008777539194535604,탐색적/exploratory
aptos2019,B2,none,cwece_db,3,0.040211818198469564,0.03917163046723789,0.041783030726701816,0.0026114002594639224,탐색적/exploratory
aptos2019,B2,none,cwece_rms_em,3,0.043439916165889575,0.042517258069811575,0.04495719474893322,0.0024399366791216445,탐색적/exploratory
aptos2019,B2,none,brier_multiclass,3,0.25645662486790805,0.2542626684749916,0.2594705878763388,0.005207919401347183,탐색적/exploratory
aptos2019,B2,none,brier_balanced,3,0.5124917709379998,0.508129968798545,0.5149080963692042,0.006778127570659209,탐색적/exploratory
aptos2019,B2,none,brier_ovr_mean,3,0.05129132497358161,0.05085253369499833,0.05189411757526776,0.0010415838802694324,탐색적/exploratory
aptos2019,B2,none,nll,3,0.5047812923592748,0.49952355615973854,0.5096274493698187,0.010103893210080206,탐색적/exploratory
aptos2019,B2,none,acc,3,0.8229564900782815,0.8216821409066084,0.8255051884216276,0.0038230475150191623,탐색적/exploratory
aptos2019,B2,none,bacc,3,0.6460548170096608,0.6439258108588567,0.6488494659097477,0.004923655050890985,탐색적/exploratory
aptos2019,B2,none,mean_conf,3,0.8815809526729201,0.8808916529983599,0.8823827148440323,0.0014910618456723812,탐색적/exploratory
aptos2019,B2,none,n_bins_eff_em,3,15.0,15.0,15.0,0.0,탐색적/exploratory
aptos2019,B2,temp,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
